,mean,std,std_over_mean,rfi_ratio,rfi_mean,rfi_std,rfi_min,rfi_max,rfi_std_over_rfi_mean,rfi_min_data_percentile,rfi_min_stds_from_mean,rfi_min_means_from_mean,rfi_min_div_mean,rfi_max_over_rfi_min,rfi_perc10,rfi_perc10_data_percentile,rfi_perc10_stds_from_mean,rfi_perc10_over_rfi_min,nonrfi_mean,nonrfi_std,nonrfi_min,nonrfi_max,nonrfi_std_over_nonrfi_mean,nonrfi_max_data_percentile,nonrfi_max_stds_from_mean,nonrfi_max_means_from_mean,nonrfi_max_div_mean,nonrfi_max_over_nonrfi_min,rfi_mean_over_nonrfi_mean,nonrfi_perc90,nonrfi_perc90_data_percentile,nonrfi_perc90_stds_from_mean,nonrfi_max_over_nonrfi_perc90,nonrfi_max_over_rfi_min,overlap_ratio,rfi_overlap_ratio,nonrfi_overlap_ratio,nonrfi_perc90_minus_rfi_perc10,nonrfi_perc90_over_rfi_perc10
20,0.402742,1.8436153,4.577658,0.00583648681640625,15.695501,18.192394,0.00059274095,113.77297,1.1590834,4.1961669921875e-05,-0.2181308,-0.99852824,0.0014717635,191943.84,2.9380581378936768,0.9947471618652344,1.3751871924660561,4956.732165057548,0.31296203,0.30793533,7.204318e-05,1.9224077,0.98393834,0.9945182800292969,0.8242857,3.7732983,4.7732983,26684.105,50.151455,0.7999461412429812,0.8949470520019531,0.21544849633691193,4956.732165057548,3243.2512,0.9944725036621094,0.06143790849673202,0.9999577919835465,-0.09980010986328125,0.2722703580727884
21,1.4162112,4.4795756,3.1630702,0.006092071533203125,42.075798,35.095016,0.006115806,140.29562,0.83409035,0.0065765380859375,-0.31478328,-0.9956816,0.0043184278,22939.842,9.246851921081543,0.9945182800292969,1.7480764504115291,1511.9596972435495,1.1669921,1.5636406,0.00027943557,7.0515547,1.3398896,0.9942703247070312,1.2580084,3.9791687,4.979169,25234.994,36.054913,3.669671583175659,0.8946495056152344,0.5030521906196607,1511.9596972435495,1153.005,0.9876899719238281,0.06011271133375078,0.9933831516002871,-0.0998687744140625,0.3968563154784944
22,129321.875,773480.94,5.9810524,0.005542755126953125,7571440.5,7164785.0,116469.91,25719516.0,0.94629085,0.7817268371582031,-0.016615754,-0.099379696,0.9006203,220.82542,920236.6625,0.9950141906738281,1.0225394695005008,7.901068113893154,87842.13,71211.73,169.94147,405137.62,0.8106785,0.9945640563964844,0.35659024,2.1327848,3.1327848,2383.9834,86.193726,153809.8125,0.8950119018554688,0.03165939367445626,7.901068113893154,3.4784746,0.21283340454101562,0.01995870612525809,0.21391609223179933,-0.10000228881835938,0.1671415829946897
23,0.5255737,4.04732,7.700766,0.00629425048828125,40.67395,31.157032,0.014248134,142.97458,0.76601934,0.0189056396484375,-0.12633683,-0.9728903,0.027109679,10034.618,1.8534186124801635,0.9943351745605469,0.32808005742329177,130.08150117750935,0.2712691,0.24708605,0.00032236014,1.0985571,0.91085213,0.9939804077148438,0.14157107,1.0902058,2.0902057,3407.8567,149.93948,0.6933130443096162,0.8945884704589844,0.04144455542013316,130.08150117750935,77.10182,0.9750709533691406,0.04424242424242424,0.9809746097798797,-0.0997467041015625,0.37407255956162816
24,318417.78,442371.22,1.3892792,0.0016021728515625,7520648.5,6418977.5,181674.38,19182656.0,0.85351384,0.384521484375,-0.3091146,-0.42944652,0.5705535,105.58812,650086.8375,0.920806884765625,0.7497527917552842,3.57830782409462,306860.03,215663.06,594.96643,1065968.1,0.702806,0.9987258911132812,1.6898712,2.347703,3.347703,1791.6442,24.5084,603250.14375,0.8986968994140625,0.6438763428254792,3.57830782409462,5.8674655,0.6142005920410156,0.20714285714285716,0.6148614571074873,-0.0221099853515625,0.9279531732558729
25,12.623947,12.916943,1.0232095,0.018321990966796875,42.39611,60.055,0.043081753,272.86127,1.4165214,0.00388336181640625,-0.97398174,-0.99658734,0.0034127007,6333.5693,3.3829341888427735,0.192291259765625,-0.715417978033129,78.52359657474014,12.068281,9.262604,0.013743776,32.282555,0.7675164,0.99407958984375,1.5219241,1.5572473,2.5572474,2348.8855,3.5130198,27.43352508544922,0.8947982788085938,1.1465234773112067,78.52359657474014,749.33246,0.9901924133300781,0.6770768269831355,0.9960441593061347,0.7025070190429688,8.109387754549733
26,0.862199,1.9179971,2.2245412,0.017726898193359375,9.98988,9.448717,0.000533114,54.082054,0.9458289,0.0,-0.44925296,-0.9993817,0.00061831897,101445.57,1.0188660144805908,0.6991233825683594,0.08168260746286075,1911.1596957209267,0.69747335,0.77667075,0.0009437912,3.5622349,1.113549,0.9881210327148438,1.4077371,3.1315691,4.1315694,3774.389,14.322955,1.9248605012893676,0.8877525329589844,0.5540474908644402,1911.1596957209267,6681.938,0.9881172180175781,0.33010544437271355,1.0,0.188629150390625,1.889218478124079
27,13.212259,14.464404,1.0947714,0.01190948486328125,69.38408,80.524796,0.001794501,318.32553,1.1605659,0.0,-0.91330856,-0.99986416,0.0001358209,177389.44,8.09312105178833,0.4425697326660156,-0.35391283341158425,4509.956341520915,12.535221,9.751767,0.0036891147,34.0444,0.77794933,0.9939422607421875,1.4402349,1.5767281,2.576728,9228.339,5.53513,29.130477333068846,0.8947334289550781,1.1005097703063362,4509.956341520915,18971.514,0.9939384460449219,0.49167200512491993,1.0,0.4521636962890625,3.599412037292079
28,1.7844388,2.9553518,1.6561799,0.02126312255859375,8.796018,13.980821,0.008750886,84.757996,1.5894489,0.00591278076171875,-0.60083807,-0.99509597,0.0049039987,9685.647,0.2692008137702942,0.3473701477050781,-0.512709864045789,30.762693312354624,1.6321114,1.8937113,7.8880694e-05,7.1152887,1.1602831,0.9937324523925781,1.8037952,2.9874096,3.9874096,90203.17,5.3893485,5.091782331466677,0.8934593200683594,1.1191031300995742,30.762693312354624,813.09357,0.9878158569335938,0.7054180121994976,0.993958763690221,0.5460891723632812,18.914438853856634
29,1.1222243,2.5967011,2.3138878,0.013622283935546875,15.118637,14.41044,0.0076489183,85.570465,0.95315737,0.0064239501953125,-0.42922744,-0.99318415,0.006815855,11187.264,1.6128233671188354,0.7699203491210938,0.18893165165690143,210.8563984242716,0.928928,1.1069233,0.00033856815,5.506202,1.1916137,0.9909934997558594,1.6882874,3.9065075,4.9065075,16263.202,16.275358,2.7403210163116465,0.8901481628417969,0.6231355073023982,210.8563984242716,719.86676,0.9845657348632812,0.339120694483338,0.9934873323974274,0.12022781372070312,1.6990831557748227
30,2.6238284,3.3925328,1.2929705,0.00267791748046875,2.8431432,5.1608987,0.0039065275,35.588627,1.8152088,7.62939453125e-06,-0.7722613,-0.99851114,0.0014888655,9110.041,0.3684872716665268,0.3994865417480469,-0.664795671983906,94.32603980067715,2.6232393,3.3865225,0.0026295367,14.709053,1.2909697,0.9998588562011719,3.5623014,4.605951,5.605951,5593.7812,1.0838292,8.321943187713622,0.8999710083007812,1.6796049057600384,94.32603980067715,3765.25,0.999847412109375,0.9487179487179487,0.9999923501197207,0.5004844665527344,22.584072307509185
31,0.94541806,2.0538878,2.1724653,0.020900726318359375,9.288445,9.922771,0.0070815254,65.54422,1.0682919,0.016132354736328125,-0.45685872,-0.99250966,0.007490364,9255.664,0.8048164129257203,0.6413764953613281,-0.068456341131308,113.65014844030496,0.76732045,0.8301018,0.00021125867,3.5035043,1.0818189,0.9871292114257812,1.2454848,2.7057724,3.7057726,16583.955,12.105041,2.2168752670288088,0.8864974975585938,0.6190489957200717,113.65014844030496,494.73865,0.9709930419921875,0.384376711078664,0.983523269631621,0.24512100219726562,2.754510508762963
32,1.6135197,4.022614,2.4930677,0.011058807373046875,23.689804,27.786886,0.016717166,142.9026,1.172947,0.006343841552734375,-0.3969564,-0.9896393,0.010360683,8548.256,0.7275497674942016,0.5851097106933594,-0.22024730699844347,43.52111955930722,1.3666524,1.4890952,0.0038610315,5.1192374,1.0895933,0.992523193359375,0.8715024,2.1727147,3.1727147,1325.873,17.334185,3.732078361511231,0.8932113647460938,0.5266621882583913,43.52111955930722,306.2264,0.986175537109375,0.32424974129010004,0.9935852186155952,0.3081016540527344,5.129653706529395
33,144927.1,1040937.06,7.1824875,0.008258819580078125,8714342.0,7542908.5,43985.043,29235832.0,0.86557406,0.2984123229980469,-0.09697229,-0.69650227,0.30349773,664.6767,372008.40625,0.9925689697265625,0.21815085722341643,8.457611522951117,73564.47,46284.523,18.730589,231888.27,0.6291695,0.9922065734863281,0.08354124,0.60003394,1.6000339,12380.19,118.45857,143939.5375,0.8928298950195312,-0.000948718501412754,8.457611522951117,5.27198,0.6937904357910156,0.056812933025404154,0.6991026198269861,-0.09973907470703125,0.38692549706328044
34,1.6119406,2.9174173,1.8098788,0.011409759521484375,15.916453,16.44524,0.03008288,91.98918,1.0332227,0.046863555908203125,-0.5422117,-0.9813375,0.018662523,3057.8582,1.763178825378418,0.6989097595214844,0.05183975692465228,58.61070647243763,1.446846,1.7605007,0.00042572798,8.52307,1.2167851,0.9928855895996094,2.3689206,4.2874594,5.2874594,20019.99,11.0007925,4.386046600341799,0.8921966552734375,0.9508773357817395,58.61070647243763,283.31964,0.9460182189941406,0.37679705784018724,0.9525955709561533,0.19328689575195312,2.487578989272659
